str_no_string|NO STRING!
str_empty_string| 
str_nationality_type|hhhh
str_choose_a_compaign_type|a
str_choose_compaign_type|ffff
str_cannot_leave_now|Невозможно уйти.
str_you_need_to_improve_your_refuge_first|Сначало улучьшите убежище.
str_go_to_the_lords_hall_s1|Зал Правителя{s1}.
str_forget_it|Оставить.
str_none|ни одной
str_yes|Да.
str_no|Нет.
str_open_gate|Открыть Ворота
str_close_gate|Закрыть Ворота
str_open_door|Открыть Дверь
str_close_door|Закрыть Дверь
str_raise_ladder|Поднять лестницу
str_drop_ladder|Опустить лестница
str_cancel|Отменить
str_continue|Продолжить
str_done|Готово
str_back|Назад
str_no_money|У вас не хаватает денег!
str_give_order|Построить
str_blank_string| 
str_noone|никто
str_done|Готово
str_wages_for_s0|Заработная плата {s0}:
str_earlier_debts|Старые долги:
str_net_change|Прибыль:
str_earlier_wealth|Предыдущий Расчет:
str_new_wealth|Новый расчет:
str_new_debts|Новые долги:
str_courtships_in_progress_|Ухаживания:^
str_s1__poems_known|{s1}^^-----------^^Известные Стихи:
str_s50_and_s51|{s50} и {s51}
str_s52_and_s51|{s52} и {s51}
str_s5_s_party|{s5} с отрядом
str_s0s_party|{s0} с отрядом
str_courtships_in_progress_|Ухаживания:^
str_given_by_s1_at_s2|Дан {s1} на {s2}
str_given_by_s1_in_wilderness|Дан {s1} в то время как в области
str_s7_raiders|{s7} Налетчики
str_bandits_eliminated_by_another|надоедливые бандиты уничтожены другим отрядом
str_msg_battle_won|битва выиграна, нажмите Tab для продолжения
str_tutorial_map1|Вы находитесь на глобальной карте. Щелкнув ЛКМ, вы можете отправить персонажа в нужное место, войти в город или преследовать выбранный отряд. Если вы стоите на месте, ожидаете или отдыхаете, время на глобальной карте останавливается. Чтобы войти в режим ожидания, зажмите пробел.
str_randomize|Случайный
str_charge|Зарядить
str_color|Цвет
str_flip_horizontal|По гаризонтали
str_flip_vertical|По вертикали
str_hold_fire|Продолжать огонь
str_blunt_hold_fire|Продолжать огонь
str_tutorial_ammo_refilled|Пополнить боепрепасы.
str_tutorial_failed|Вы были избиты, но не волнуйтесь. Следуйте инструкциям, и в сделаете раз у вас все получтся. Нажмите клавишу Tab, чтобы вернуться в меню, где вы можете повторить этот урок.
str_finished|(Finished)
str_delivered_damage|нанесен урон: {reg60}
